id,province,party,title,firstName,lastName,sex,age,occupation,highestEducation,vote,votePercent,rank
190408,19,22,นาย,ชนัตถ์,  นันทปัญญา,M,49,ข้าราชการการเมือง,ปริญญาโท,13648,13.15609,4
190409,19,21,นาย,อำนาจ,  กลิ่นหอม,M,41,รับจ้างทั่วไป,ต่ำกว่าปริญญาตรี,218,0.21014,9
190410,19,61,นาง,ทิพวรรณ,  สุขเกษม,F,53,ช่างเสริมสวย,ต่ำกว่าปริญญาตรี,89,0.08579,10
170101,17,22,นาย,ภูวเดช,  มังสาทอง,M,53,เจ้าของกิจการรับเหมาก่อสร้าง,ปริญญาโท,5002,3.82372,4
170102,17,21,นาย,วุฒิกร,  จูเจี่ย,M,59,เกษตรกร,ปริญญาตรี,672,0.5137,8
170103,17,7,นาย,พชรพล,  วงษ์ใหญ่,M,39,รองนายก อบต.สระแจง,ต่ำกว่าปริญญาตรี,685,0.52364,7
170104,17,26,นาย,สาโรจน์,  พันธาสุ,M,59,ค้าขาย,ปริญญาตรี,622,0.47548,9
170105,17,31,นาย,ธีรเศรษฐ,  พัฒน์วราพงษ์,M,40,ข้าราชการ สังกัดกระทรวงมหาดไทย,ปริญญาเอก,39086,29.87884,2
170106,17,32,นาย,สุรสาล,  ผาสุข,M,73,ข้าราชการบำนาญ,ปริญญาเอก,2297,1.75591,5
170107,17,37,นาย,โชติวุฒิ,  ธนาคมานุสรณ์,M,39,สมาชิกสภาผู้แทนราษฎรจังหวัดสิงห์บุรี,ปริญญาตรี,42024,32.12476,1
170108,17,29,นางสาว,นิชดา,  ปั้นเกตุตันติรักษ์,F,57,ธุรกิจส่วนตัว,ปริญญาโท,29115,22.25662,3
170109,17,25,สิบเอก,ณรงค์ชัย,  อินทรกวี,M,35,"ข้าราชการกระทรวงกลาโหม, ผู้ช่วยดำเนินงานของสมาชิกสภาผู้แทนราษฎร",ต่ำกว่าปริญญาตรี,1158,0.88522,6
